runtime,revenue,budget,imdb_score,average_director_score,average_actor_score,average_genre_score
157.0,289994397.0,150000000.0,7.6,6.8428571428571425,6.780555555555556,6.369918555722735
102.0,227946274.0,150000000.0,6.4,6.666666666666667,6.866944444444445,6.50182922629512
104.0,256386216.0,150000000.0,7.2,7.0,6.8933333333333335,6.296373511246635
115.0,206456431.0,150000000.0,6.7,6.93125,6.670528455284553,6.297129987346667
111.0,206435493.0,150000000.0,8.0,7.58,6.965690235690236,6.330845727432445
128.0,205343774.0,150000000.0,8.3,8.425,6.934316705405567,6.340533010592745
89.0,179982968.0,150000000.0,6.7,6.760000000000001,6.23957671957672,6.3394799501174806
105.0,177243721.0,150000000.0,5.9,6.033333333333334,6.2352795933188085,6.297129987346667
119.0,179883016.0,150000000.0,6.7,6.875,6.725730994152047,6.316835719898059
129.0,139259759.0,150000000.0,6.7,6.916666666666665,6.283333333333334,6.260857052747772
102.0,400736600.0,150000000.0,7.6,7.6,6.970833333333334,6.378688127468944
138.0,281492479.0,150000000.0,7.2,6.916666666666665,6.98888888888889,6.260857052747772
112.0,206360018.0,170000000.0,7.1,6.85,6.883888888888888,6.329371733837786
120.0,153629485.0,150000000.0,8.1,6.800000000000001,6.829594017094017,6.319282354790606
146.0,133375846.0,150000000.0,6.7,6.93076923076923,6.928888888888888,6.400322608079376
115.0,181015141.0,150000000.0,7.0,7.166666666666667,6.883888888888888,6.329371733837786
96.0,114053579.0,150000000.0,6.9,6.9,6.280392156862746,6.444253271164582
88.0,119420252.0,150000000.0,5.1,5.1,5.616666666666667,6.32660958753335
99.0,83640426.0,150000000.0,5.8,5.699999999999999,6.69281045751634,6.329371733837786
113.0,79711678.0,100000000.0,6.2,6.93125,6.592587278813965,6.115278243277483
131.0,195000874.0,150000000.0,7.4,7.025,6.916819923371648,6.331770412448081
119.0,61937495.0,150000000.0,5.8,6.325,6.296666666666667,6.307149187102087
110.0,124051759.0,180000000.0,6.6,7.050000000000001,6.714814814814815,6.473853930659189
91.0,126597121.0,150000000.0,6.2,6.2,6.4430555555555555,6.3643759567275096
90.0,165230261.0,150000000.0,7.3,7.3,6.741681159420291,6.3394799501174806
103.0,131564731.0,150000000.0,4.2,6.044444444444445,4.783333333333334,6.308292536642076
124.0,133382309.0,150000000.0,6.9,7.449999999999999,7.154153256704981,6.331770412448081
131.0,73103784.0,150000000.0,6.4,6.1875,6.28560606060606,6.439301222916331
88.0,21379315.0,150000000.0,5.4,5.65,5.800793650793651,6.329869655400931
85.0,64459316.0,149000000.0,6.7,6.5,6.428282828282829,6.3643759567275096
111.0,34964818.0,150000000.0,5.8,6.637499999999999,6.122222222222223,6.331091407630313
92.0,111505642.0,145000000.0,6.9,5.94,6.794444444444444,6.347864401745644
196.0,133228348.0,175000000.0,7.2,6.857142857142857,6.972085561497327,6.4411700975081265
93.0,216366733.0,145000000.0,6.9,6.760000000000001,6.5705291005291,6.3643759567275096
133.0,160201106.0,142000000.0,6.1,6.140000000000001,6.423333333333333,6.331770412448081
116.0,118099659.0,144000000.0,5.5,5.9,5.7555555555555555,6.256002253079785
153.0,201573391.0,140000000.0,6.6,6.638461538461538,6.377522522522523,6.319282354790606
88.0,190418803.0,140000000.0,6.1,6.457142857142856,6.417936507936507,6.313804864983173
115.0,82161969.0,150000000.0,6.3,7.307692307692308,6.64965811965812,6.39103706484115
95.0,143523463.0,145000000.0,7.2,7.2,6.7662311827957,6.3394799501174806
133.0,209364921.0,145000000.0,7.4,7.58,7.151819923371647,6.331770412448081
97.0,103400692.0,145000000.0,7.3,7.3,7.022222222222223,6.392326820185545
90.0,110332737.0,100000000.0,6.1,6.275,6.233333333333333,6.38001881375405
154.0,111110575.0,140000000.0,7.7,7.324999999999999,6.603486590038314,6.789413966757141
150.0,65007045.0,140000000.0,6.1,7.070588235294117,6.547936507936508,6.4816095166994545
127.0,257704099.0,150000000.0,8.0,7.449999999999999,6.743157894736842,6.320961401001224
121.0,403706375.0,139000000.0,7.3,6.907692307692307,6.667863050927568,6.359675593512938
102.0,176997107.0,145000000.0,7.9,7.766666666666667,6.651388888888889,6.334074821819212
126.0,31141074.0,140000000.0,5.5,6.82,6.080000000000001,6.329371733837786
121.0,31704416.0,135000000.0,5.0,5.781818181818182,6.563333333333333,6.319282354790606
215.0,107503316.0,130000000.0,7.7,7.175000000000001,6.840740740740741,6.442969158602105
127.0,129734803.0,140000000.0,6.6,6.824999999999999,6.646474358974359,6.37297768028283
138.0,132122995.0,137000000.0,5.7,7.25,6.077777777777778,6.260857052747772
122.0,122512052.0,130000000.0,5.8,5.34,6.054084321475625,6.319282354790606
124.0,68642452.0,130000000.0,6.0,6.166666666666667,6.606880341880342,6.297639240959993
106.0,32131830.0,137000000.0,6.4,6.4,6.382522522522522,6.3827589356201955
124.0,176636816.0,140000000.0,6.9,6.325,6.8894230769230775,6.320961401001224
128.0,126930660.0,135000000.0,6.4,6.516666666666666,6.54,6.331770412448081
138.0,93926386.0,150000000.0,7.4,7.725,6.933333333333334,6.719765192907337
115.0,292298923.0,120000000.0,5.5,6.383333333333333,5.796018518518518,6.4906422448218155
100.0,63992328.0,135000000.0,5.9,6.800000000000001,6.735867828612927,6.380977371744417
135.0,134518390.0,150000000.0,6.8,6.542857142857142,6.736944444444444,6.320961401001224
60.0,25517500.0,1500000.0,7.5,7.548076923076923,6.988888888888888,6.473819113952274
117.0,52792307.0,140000000.0,6.8,7.480769230769232,7.132777777777778,6.331091407630313
156.0,183635922.0,135000000.0,8.1,7.783333333333334,7.331235431235432,6.55221714105731
96.0,83024900.0,135000000.0,6.5,6.5,6.382080200501253,6.4127095565908
107.0,123207194.0,135000000.0,7.2,6.985714285714286,6.4905284552845535,6.429438909711905
92.0,83348920.0,132000000.0,6.7,6.760000000000001,6.7188888888888885,6.3643759567275096
115.0,227137090.0,110000000.0,8.1,7.585714285714287,6.901827485380117,6.346847046612038
92.0,215395021.0,130000000.0,7.6,7.699999999999999,6.680388888888889,6.3394799501174806
117.0,180191634.0,130000000.0,7.4,6.475,6.505388888888889,6.28953248237485
146.0,424645577.0,130000000.0,7.6,7.0,6.816666666666666,6.34574449849502
115.0,292298923.0,120000000.0,5.5,6.383333333333333,5.796018518518518,6.4906422448218155
94.0,177343675.0,135000000.0,6.7,6.725,6.591666666666666,6.341061864842682
116.0,234277056.0,132000000.0,6.5,7.480769230769232,6.456264367816092,6.34574449849502
147.0,138396624.0,130000000.0,6.6,6.638461538461538,6.258148148148147,6.328544691836054
90.0,149234747.0,130000000.0,6.7,6.4,6.3506265664160395,6.334074821819212
101.0,118311368.0,110000000.0,6.4,6.7666666666666675,6.404000000000001,6.401333260212122
138.0,101160529.0,125000000.0,5.8,7.483333333333333,6.623888888888889,6.4816095166994545
107.0,77564037.0,135000000.0,7.4,7.480769230769232,6.646969696969697,6.353130241560109
142.0,249358727.0,130000000.0,7.8,7.8,6.880736714975845,6.369918555722735
165.0,49551662.0,130000000.0,6.6,7.12,6.433333333333333,6.681485583542666
100.0,60522097.0,130000000.0,4.9,6.044444444444445,6.289166666666667,6.320961401001224
82.0,137748063.0,127500000.0,6.5,6.5,6.298571428571429,6.394125829143266
107.2010739856802,25517500.0,20000000.0,7.5,6.95,6.9430555555555555,6.273472552002616
98.0,113733726.0,127000000.0,6.2,6.033333333333334,6.2352795933188085,6.297129987346667
95.0,148337537.0,130000000.0,7.3,7.3,6.703407653383934,6.307609566979492
159.0,317557891.0,125000000.0,7.5,6.654545454545455,6.498888888888889,6.331091407630313
96.0,33592415.0,130000000.0,5.6,6.349999999999999,6.3537865497076025,6.24739694350032
120.0,25517500.0,20000000.0,8.2,8.2,8.2,6.3140373109850785
143.0,305388685.0,140000000.0,8.1,6.985714285714286,7.086437546193643,6.329371733837786
107.2010739856802,25517500.0,20000000.0,6.4,6.95,6.8306818181818185,6.307049180327869
123.0,337103873.0,125000000.0,6.7,7.0,6.910666666666667,6.34574449849502
174.0,217536138.0,125000000.0,6.6,6.93076923076923,6.873333333333334,6.400322608079376
101.0,131536019.0,103000000.0,6.4,6.824999999999999,6.355555555555557,6.393015916897159
134.0,214948780.0,110000000.0,7.5,7.2875,6.908888888888889,6.316835719898059
132.0,209805005.0,125000000.0,7.3,6.840000000000001,6.436460717009916,6.37297768028283
129.0,186830669.0,125000000.0,7.5,7.262499999999999,7.164750957854406,6.409300627671323
106.0,163192114.0,125000000.0,5.8,6.542857142857142,6.483921568627451,6.329371733837786
113.0,119412921.0,65000000.0,7.5,6.716666666666666,7.113888888888888,6.260857052747772
102.0,32694788.0,85000000.0,6.6,6.63,6.423232323232323,6.588213633470848
135.0,113165635.0,125000000.0,6.7,6.733333333333333,6.718720821661999,6.331770412448081
125.0,107285004.0,125000000.0,3.7,6.407692307692307,5.265555555555555,6.239895923677364
110.0,260031035.0,123000000.0,6.0,6.93076923076923,6.108333333333333,6.249116617292846
124.0,186739919.0,125000000.0,6.4,6.1875,6.66422077922078,6.319282354790606
123.0,215397307.0,125000000.0,6.1,6.516666666666667,6.469875478927203,6.331770412448081
130.0,182618434.0,140000000.0,6.4,6.857142857142857,6.938888888888889,6.439768441564279
92.0,131920333.0,130000000.0,5.6,6.05,6.349145299145299,6.319282354790606
127.0,124976634.0,120000000.0,8.0,7.25,7.546666666666667,6.503993935582957
123.0,115802596.0,110000000.0,5.2,6.050000000000001,5.884313725490196,6.287063440054662
123.0,108521835.0,120000000.0,7.1,7.585714285714287,7.336549707602338,6.277070569918058
107.0,100685880.0,120000000.0,4.8,6.083333333333333,6.042956349206349,6.360275912173398
124.0,126464904.0,130000000.0,7.0,7.070588235294117,6.698055555555555,6.403129426442103
77.0,64736114.0,120000000.0,5.4,5.94,6.244949494949495,6.352910601447581
109.0,93050117.0,115000000.0,6.6,7.166666666666667,7.067105263157894,6.399930462641794
134.0,57637485.0,105000000.0,6.7,6.675000000000001,6.616228070175438,6.319282354790606
117.0,58607007.0,100000000.0,6.2,6.833333333333333,6.568699677938807,6.350187805666668
135.0,43929341.0,120000000.0,6.1,6.916666666666665,6.133333333333333,6.363664941592089
121.0,30212620.0,120000000.0,5.3,6.5,5.3,6.469865142648999
117.0,76418654.0,117000000.0,6.3,7.074999999999999,6.3652458492975725,6.295242940903829
124.0,89021735.0,120000000.0,7.0,7.175000000000001,7.1492785522132545,6.362321050750918
140.0,380262555.0,113000000.0,7.6,7.4,6.603181818181818,6.317483345832885
142.0,310675583.0,115000000.0,6.7,7.4,6.603181818181818,6.317483345832885
92.0,289907418.0,115000000.0,8.1,8.233333333333334,7.03168918918919,6.352910601447581
138.0,132550960.0,120000000.0,6.7,7.074999999999999,6.7555555555555555,6.319282354790606
136.0,474544677.0,115000000.0,6.5,7.4,6.88892156862745,6.317483345832885
98.0,187165546.0,135000000.0,7.3,5.9,6.478298687896211,6.352910601447581
116.0,25517500.0,78000000.0,5.1,5.1,5.1,6.297129987346667
153.0,40911830.0,115000000.0,6.0,6.516666666666667,6.634313725490196,6.6913603292671695
120.0,47952020.0,115000000.0,6.1,6.1,6.706388888888888,6.437969432606558
101.0,190871240.0,125000000.0,5.9,5.699999999999999,5.741111111111112,6.28953248237485
91.0,274084951.0,100000000.0,7.8,7.8,7.8,6.450249006099484
108.0,67155742.0,116000000.0,5.8,6.7714285714285705,5.95,6.331770412448081
112.0,81638674.0,135000000.0,6.3,6.05,6.252222222222223,6.28953248237485
100.0,56114221.0,120000000.0,4.3,5.233333333333333,5.559848484848485,6.320961401001224
108.0,250863268.0,110000000.0,6.4,6.033333333333334,6.2352795933188085,6.285683174612807
114.0,155181732.0,110000000.0,6.1,5.3999999999999995,6.3157004830917876,6.439768441564279
119.0,125332007.0,110000000.0,6.5,6.3,6.536666666666666,6.331770412448081
142.0,113330342.0,110000000.0,7.1,6.1875,7.032345679012345,6.789413966757141
125.0,125531634.0,110000000.0,6.4,6.70625,6.663398692810458,6.439518558585563
126.0,186336103.0,120000000.0,6.5,7.128571428571427,6.6785098039215685,6.352953187976522
119.0,129995817.0,110000000.0,6.3,6.349999999999999,6.5470862470862485,6.34574449849502
170.0,102608827.0,110000000.0,7.5,7.659999999999999,6.545093795093796,6.95696658868852
85.0,42776259.0,112000000.0,4.9,6.050000000000001,5.661904761904762,6.297129987346667
119.0,98780042.0,120000000.0,5.8,6.925,6.579012345679012,6.319199389832479
60.0,25517500.0,20000000.0,7.6,7.548076923076923,7.2,6.415285974065955
102.0,106369117.0,110000000.0,6.2,6.2,6.31888888888889,6.595282542032344
103.0,142614158.0,110000000.0,5.5,4.916666666666666,5.5,6.352910601447581
76.0,50026353.0,110000000.0,5.4,5.5,5.439189189189189,6.423260964976635
120.0,66002193.0,110000000.0,5.8,6.349999999999999,6.510606060606061,6.352705883832485
127.0,85463309.0,110000000.0,7.1,6.033333333333334,7.022222222222222,6.472880147613095
105.0,71017784.0,105000000.0,5.4,4.916666666666666,5.991666666666667,6.352910601447581
121.0,48068396.0,160000000.0,3.7,5.52,5.476666666666667,6.39238005334672
114.0,61656849.0,110000000.0,6.7,6.875,6.525287356321839,6.260857052747772
129.0,134520804.0,110000000.0,7.2,7.0,6.642499999999999,6.331770412448081
171.0,313837577.0,93000000.0,8.8,7.675000000000001,7.332575757575758,6.437969432606558
120.0,24004159.0,110000000.0,5.8,5.9,6.485032679738563,6.2921039158937395
165.0,58183966.0,107000000.0,6.8,7.083333333333333,6.628148148148148,6.8399923778069995
82.0,100446895.0,109000000.0,3.8,3.8,5.65959595959596,6.297129987346667
115.0,144795350.0,120000000.0,7.1,6.82,6.6398245614035085,6.330589830413574
194.0,47396698.0,130000000.0,7.2,7.070588235294117,7.094830659536542,6.719765192907337
84.0,140015224.0,133000000.0,5.9,5.94,6.103097643097644,6.297129987346667
97.0,104374107.0,105000000.0,7.1,7.3999999999999995,5.8566666666666665,6.41726002266964
151.0,228430993.0,108000000.0,8.1,7.070588235294117,7.039327485380117,6.495583602746394
22.0,25517500.0,20000000.0,7.2,7.2,6.911627906976744,6.195245726495727
136.0,35799026.0,126000000.0,6.9,6.638461538461538,6.683633633633634,6.345543318340164
104.0,6712451.0,90000000.0,4.4,5.78,5.903333333333333,6.322916449517059
127.0,101643008.0,90000000.0,6.5,6.166666666666667,6.5109803921568625,6.37297768028283
171.0,187670866.0,103000000.0,8.5,7.070588235294117,7.024629629629629,6.484748541709545
